n,b_per_K,dT_K,pressure_Torr,pressure_Pa,R_rad,f_rad,f_rad_reverse,R_total,q_rad_fwd_W_m2,q_rad_rev_W_m2,q_gas_W_m2,q_total_fwd_W_m2,q_total_rev_W_m2
0.5,0.0,5.0,760.0,101324.72,0.007219159438158762,0.029594572772721223,0.029492622026012254,0.00021291194065509167,8.752137809694952,8.68940759087329,285.94046910199256,294.6926069116875,294.6298766928659
0.5,0.0,5.0,36.0,4799.592000000001,0.007219159438158762,0.029956779894167816,0.029853619761766047,0.00021551804086628046,8.752137809694952,8.68940759087329,282.37772799319873,291.1298658028937,291.06713558407205
0.5,0.0,5.0,0.0075,0.999915,0.007219159438158762,0.6632157332748215,0.6624210213862556,0.004782122968575386,8.752137809694952,8.68940759087329,4.4282431332671885,13.180380942962142,13.117650724140479
0.5,0.0,5.0,7.5e-06,0.000999915,0.007219159438158762,0.9994844862144281,0.999482650777976,0.00721542461163982,8.752137809694952,8.68940759087329,0.004497785182651656,8.756635594877604,8.693905376055943
0.5,0.0,10.0,760.0,101324.72,0.014491235154663551,0.029594572772721223,0.02939332204429296,0.00042594554172059595,17.56949659522467,17.318529708683116,571.8809382039851,589.4504347992098,589.1994679126683
0.5,0.0,10.0,36.0,4799.592000000001,0.014491235154663551,0.029956779894167816,0.02975314158388694,0.0004311597712820525,17.56949659522467,17.318529708683116,564.7554559863975,582.3249525816221,582.0739856950806
0.5,0.0,10.0,0.0075,0.999915,0.014491235154663551,0.6632157332748215,0.6616435201063603,0.009588031838420719,17.56949659522467,17.318529708683116,8.856486266534377,26.425982861759046,26.17501597521749
0.5,0.0,10.0,7.5e-06,0.000999915,0.014491235154663551,0.9994844862144281,0.9994808508300848,0.014483712041962082,17.56949659522467,17.318529708683116,0.008995570365303312,17.578492165589974,17.32752527904842
0.5,0.0,20.0,760.0,101324.72,0.02919896226581975,0.029594572772721223,0.02920252681107632,0.0008526834784232662,35.41006715194067,34.40546332653124,1143.7618764079702,1179.171943559911,1178.1673397345014
0.5,0.0,20.0,36.0,4799.592000000001,0.02919896226581975,0.029956779894167816,0.029560081855264847,0.0008631237146665693,35.41006715194067,34.40546332653124,1129.510911972795,1164.9209791247356,1163.916375299326
0.5,0.0,20.0,0.0075,0.999915,0.02919896226581975,0.6632157332748215,0.6601399823128786,0.01927540243371273,35.41006715194067,34.40546332653124,17.712972533068754,53.12303968500943,52.1184358596
0.5,0.0,20.0,7.5e-06,0.000999915,0.02919896226581975,0.9994844862144281,0.9994773580685309,0.029183701663784367,35.41006715194067,34.40546332653124,0.017991140730606623,35.42805829267128,34.42345446726185
1.0,0.0,5.0,760.0,101324.72,0.014490437376804444,0.029594572772721223,0.02938946136000038,0.0004258661493752314,8.783552614631613,8.65809305935252,285.94046910199256,294.7240217166242,294.59856216134506
1.0,0.0,5.0,36.0,4799.592000000001,0.014490437376804444,0.029956779894167816,0.02974923508741957,0.00043107942804221366,8.783552614631613,8.65809305935252,282.37772799319873,291.16128060783035,291.0358210525512
1.0,0.0,5.0,0.0075,0.999915,0.014490437376804444,0.6632157332748215,0.6616132225179587,0.00958706496856232,8.783552614631613,8.65809305935252,4.4282431332671885,13.211795747898801,13.086336192619708
1.0,0.0,5.0,7.5e-06,0.000999915,0.014490437376804444,0.9994844862144281,0.9994807806043974,0.014482913660667673,8.783552614631613,8.65809305935252,0.004497785182651656,8.788050399814265,8.662590844535172
1.0,0.0,10.0,760.0,101324.72,0.029192484366279636,0.029594572772721223,0.029187238015773005,0.0008520479894702504,17.695374161073826,17.19345450911417,571.8809382039851,589.5763123650589,589.0743927130993
1.0,0.0,10.0,36.0,4799.592000000001,0.029192484366279636,0.029956779894167816,0.02954461156130436,0.0008624806111110495,17.695374161073826,17.19345450911417,564.7554559863975,582.4508301474713,581.9489104955117
